"property name","property city","property state","zip code","property type","property subtype","year built","total units","occupancy %","monthly rent per unit","uw noi","most recent noi","appraised value","latitude","longitude","gross_rent_median","household_income_median","housing_units_occupancy_status_total_count","housing_units_occupied_count","state_name","cap_rate","cap_rate_rank_state","median_rent","rent_perc_diff","rent_affordability_ratio","rent_affordability_percentile","State Occupancy Rate"
"Sabine Street Lofts F/k/a Marquis Lofts","Houston","TX","77007","Multifamily","Garden","2001",198,"0.904","1795","3159103.49","2017201.1","68400000","29.7619","-95.37536","1339","76292",11890808,10747240,"Texas","0.02949124415204678363","170","1428.4425318633879781","0.25661338132969320937","0.28233628689770880302","0.9065934065934066","0.90382756159211384121"
"Bridge At Heritage Woods","Austin","TX","78753","Multifamily","Garden","2021",298,"0.95","1876.67","5104799.51","3445673.25","120400000","30.39843","-97.67938","1339","76292",11890808,10747240,"Texas","0.02861854858803986711","171","1428.4425318633879781","0.31378754002228153494","0.29518219472552823363","0.9340659340659341","0.90382756159211384121"
"Las Colinas Heights Apartment Homes","Irving","TX","75062","Multifamily","Garden","1980",515,"0.928","1417","6261768.82","3552796.39","126190000","32.85392","-96.95058","1339","76292",11890808,10747240,"Texas","0.02815434178619541961","172","1428.4425318633879781","-0.00801049507288285366","0.22288051171813558433","0.6208791208791209","0.90382756159211384121"
"The Violet","Austin","TX","78745","Multifamily","Garden","1984",160,"0.95","1344.08","1159304","843878.89","30400000","30.1919","-97.77566","1339","76292",11890808,10747240,"Texas","0.02775917401315789474","173","1428.4425318633879781","-0.05905910107096710371","0.21141089498243590416","0.532967032967033","0.90382756159211384121"
"Grand Seasons Apartment Homes","Dallas","TX","75254","Multifamily","Garden","1978",144,"0.847","1395.08","1058152.55","561540.15","21300000","32.9507","-96.79933","1339","76292",11890808,10747240,"Texas","0.02636338732394366197","174","1428.4425318633879781","-0.02335587965157192060","0.21943270591936244954","0.6043956043956044","0.90382756159211384121"
"The Montgomery","Allen","TX","75013","Multifamily","Mid Rise","2022",370,"0.941","1814","5852532.99","3163450.68","120100000","33.10063","-96.70036","1339","76292",11890808,10747240,"Texas","0.02634013888426311407","175","1428.4425318633879781","0.26991458146633063052","0.28532480469774026110","0.9230769230769231","0.90382756159211384121"
"Bridge At Tech Crossing","Austin","TX","78660","Multifamily","Garden","2022",288,"0.941","1718.18","4578310.12","2956906.28","113000000","30.42851","-97.59891","1339","76292",11890808,10747240,"Texas","0.02616731221238938053","176","1428.4425318633879781","0.20283452898777285709","0.27025323756095003408","0.8516483516483516","0.90382756159211384121"
"Presidium Hill Street","Grand Prairie","TX","75050","Multifamily","Garden","2022",290,"0.955","1746","4769888.15","2295567.98","90900000","32.74832","-97.02513","1339","76292",11890808,10747240,"Texas","0.02525377315731573157","177","1428.4425318633879781","0.22231028624047038638","0.27462905678183820060","0.8846153846153846","0.90382756159211384121"
"Salado Creek Villas","San Antonio","TX","78217","Multifamily","Garden","1993",166,"0.922","1008","861749.76","403837.93","16000000","29.51632","-98.41829","1339","76292",11890808,10747240,"Texas","0.02523987062500000000","178","1428.4425318633879781","-0.29433632959313049858","0.15854873381219524983","0.1813186813186813","0.90382756159211384121"
"Allora Northwest Crossing","Houston","TX","77092","Multifamily","Garden","2021",378,"0.91","1508","4719848.66","2160870.83","89200000","29.84897","-95.48778","1339","76292",11890808,10747240,"Texas","0.02422500930493273543","179","1428.4425318633879781","0.05569525294995953188","0.23719393907618098883","0.6923076923076923","0.90382756159211384121"
"Greentree Apartments","Carrollton","TX","75007","Multifamily","Garden","1983",365,"0.932","1364.87","4236173.42","2801049.36","116600000","32.98675","-96.91425","1339","76292",11890808,10747240,"Texas","0.02402272178387650086","180","1428.4425318633879781","-0.04450478786882542024","0.21468096261731243119","0.5769230769230769","0.90382756159211384121"
"Belcara Townhomes","San Antonio","TX","78240","Multifamily","Townhome","2014",77,"0.948","1799","806278","370806.69","16300000","29.53525","-98.58146","1339","76292",11890808,10747240,"Texas","0.02274887668711656442","181","1428.4425318633879781","0.25941363399003792961","0.28296544853982068893","0.9175824175824175","0.90382756159211384121"
"Kingsland Park","Katy","TX","77494","Multifamily","Garden","2022",198,"0.96","1007","1099397.44","515438.31","23350000","29.76784","-95.8569","1339","76292",11890808,10747240,"Texas","0.02207444582441113490","182","1428.4425318633879781","-0.29503639275821667865","0.15839144340166727835","0.17582417582417584","0.90382756159211384121"
"Aurora Watson Branch","Mansfield","TX","76063","Multifamily","Garden","2022",350,"0.946","1759","3974996.45","1383522.32","83500000","32.56161","-97.20501","1339","76292",11890808,10747240,"Texas","0.01656912958083832335","183","1428.4425318633879781","0.23141110738659072717","0.27667383211870182981","0.8956043956043956","0.90382756159211384121"
