"property name","property city","property state","zip code","property type","property subtype","year built","total units","occupancy %","monthly rent per unit","uw noi","most recent noi","appraised value","latitude","longitude","gross_rent_median","household_income_median","housing_units_occupancy_status_total_count","housing_units_occupied_count","state_name","cap_rate","cap_rate_rank_state","median_rent","rent_perc_diff","rent_affordability_ratio","rent_affordability_percentile","State Occupancy Rate"
"El Norte Villas","Escondido","CA","92026","Multifamily","Garden","1986",236,"0.953","2197","3840794.42","3973256","88400000","33.14691","-117.10602","1956","96334",14532683,13434847,"California","0.04494633484162895928","55","2339.5527564235294118","-0.06093162722325167160","0.27367284655469512322","0.5238095238095238","0.92445744533201474222"
"Edison Long Beach","Long Beach","CA","90802","Multifamily","High Rise","1960",156,"0.968","2560","2721813.58","2623453.48","58720000","33.76911","-118.18927","1956","96334",14532683,13434847,"California","0.04467734128065395095","56","2339.5527564235294118","0.09422623318546914917","0.31889052670915772209","0.6547619047619048","0.92445744533201474222"
"The James Apartments","San Jose","CA","95113","Multifamily","Mid Rise","2020",190,"0.926","2928","4013743.06","3417099","76850000","37.33771","-121.89158","1956","96334",14532683,13434847,"California","0.04446452830188679245","57","2339.5527564235294118","0.25152125420588033936","0.36473103992359914464","0.8095238095238095","0.92445744533201474222"
"The Lenox Apartments","Rohnert Park","CA","94928","Multifamily","Garden","1978",202,"0.941","1858.53","2523995.49","2797851.22","63330000","38.34211","-122.70811","1956","96334",14532683,13434847,"California","0.04417892341702194852","58","2339.5527564235294118","-0.20560457767101953992","0.23151078539248863330","0.3333333333333333","0.92445744533201474222"
"Raintree Apartments","San Jose","CA","95128","Multifamily","Garden","1978",176,"0.983","1621","2959496.02","2883917.46","65320000","37.3075","-121.94991","1956","96334",14532683,13434847,"California","0.04415060410287813840","59","2339.5527564235294118","-0.30713252968998223016","0.20192247804513463575","0.20238095238095238","0.92445744533201474222"
"Las Brisas MHC","Long Beach","CA","90805","Multifamily","Manufactured Housing Community","1945",96,"0.99","1118","951255.07","955369.33","21820000","33.84408","-118.18792","1956","96334",14532683,13434847,"California","0.04378411228230980752","60","2339.5527564235294118","-0.52213088722603339501","0.13926547221126497394","0.11904761904761904","0.92445744533201474222"
"Ariva","San Diego","CA","92123","Multifamily","Garden","2014",253,"0.953","2844","5703616.39","5416157.16","124000000","32.82839","-117.13949","1956","96334",14532683,13434847,"California","0.04367868677419354839","61","2339.5527564235294118","0.21561695592948213290","0.35426744451595490689","0.7857142857142857","0.92445744533201474222"
"Meadow Vista Apartments","Red Bluff","CA","96080","Multifamily","Garden","2001",72,"0.972","869.69","271690.58","219206.98","5060000",NULL,NULL,"1956","96334",14532683,13434847,"California","0.04332153754940711462","62","2339.5527564235294118","-0.62826655752380052174","0.10833433678659663255","0.047619047619047616","0.92445744533201474222"
"Columbia Sky MHP","Columbia","CA","95310","Multifamily","MHC Age Restricted","1970",145,"0.917","572","505795.21","463005.38","10700000","38.03715","-120.40517","1956","96334",14532683,13434847,"California","0.04327153084112149533","63","2339.5527564235294118","-0.75550882602262173698","0.07125210206157742853","0.011904761904761904","0.92445744533201474222"
"Beach House Apartments","Sausalito","CA","94965","Multifamily","Garden","1956",17,"1","2673","336210.71","354979.38","8240000","37.85918","-122.48622","1956","96334",14532683,13434847,"California","0.04308002184466019417","64","2339.5527564235294118","0.14252606300967149833","0.33296655386467913717","0.7261904761904762","0.92445744533201474222"
"Shadow Mountain Apartments","La Verne","CA","91750","Multifamily","Garden","1971",96,"0.958","1816.53","1357154.24","1344116","31490000","34.10274","-117.78402","1956","96334",14532683,13434847,"California","0.04268389965068275643","65","2339.5527564235294118","-0.22355672680921864315","0.22627898768866651442","0.30952380952380953","0.92445744533201474222"
"Paramount Terrace","Paramount","CA","90723","Multifamily","Garden","1988",48,"0.938","2141.73","711294.72","723994","17010000","33.90829","-118.16023","1956","96334",14532683,13434847,"California","0.04256284538506760729","66","2339.5527564235294118","-0.08455580062487701530","0.26678804990968920630","0.5","0.92445744533201474222"
"Element 79","El Dorado Hills","CA","95762","Multifamily","Garden","2021",214,"0.967","2666.18","4341818.39","3941058.48","93910000","38.64937","-121.06998","1956","96334",14532683,13434847,"California","0.04196633457565754446","67","2339.5527564235294118","0.13961097593532583442","0.33211700957086802167","0.7142857142857143","0.92445744533201474222"
"Ventura Beach Resort Luxury Apartments","Ventura","CA","93004","Multifamily","Garden","1971",309,"0.971","2000","4637815.81","4708225.12","112710000","34.27093","-119.16931","1956","96334",14532683,13434847,"California","0.04177291384970277704","68","2339.5527564235294118","-0.14513575532385222721","0.24913322399152947038","0.40476190476190477","0.92445744533201474222"
"Baldwin Villa Plaza","Los Angeles","CA","90008","Multifamily","Age Restricted","1983",201,"1","1792","2431704.23","2477827.79","60750000",NULL,NULL,"1956","96334",14532683,13434847,"California","0.04078728872427983539","69","2339.5527564235294118","-0.23404163677017159558","0.22322336869641040546","0.27380952380952384","0.92445744533201474222"
"Vineyards At Paseo Del Sol","Temecula","CA","92592","Multifamily","Garden","2014",288,"0.955","2588.97","5722459.99","5415690.67","134000000","33.48371","-117.09798","1956","96334",14532683,13434847,"California","0.04041560201492537313","70","2339.5527564235294118","0.10660894176960314965","0.32249922145867502647","0.6666666666666666","0.92445744533201474222"
"Palmetto Apartments","Mountain View","CA","94040","Multifamily","Garden","1964",88,"0.909","2945.34","1802518.15","1801661.28","46040000","37.39949","-122.1011","1956","96334",14532683,13434847,"California","0.03913252128583840139","71","2339.5527564235294118","0.25893292720722254055","0.36689102497560570515","0.8214285714285714","0.92445744533201474222"
"Cottonwood Place IV","Moreno Valley","CA","92553","Multifamily","Garden","2007",46,"0.978","986.65","237466.11","241254.74","6200000","33.92446","-117.24225","1956","96334",14532683,13434847,"California","0.03891205483870967742","72","2339.5527564235294118","-0.57827409649513939999","0.12290364772562127598","0.09523809523809523","0.92445744533201474222"
"The Residences At Escaya","Chula Vista","CA","91913","Multifamily","Garden","2019",272,"0.956","2719.78","5310590.68","4822439.09","126000000","32.61434","-116.98593","1956","96334",14532683,13434847,"California","0.03827332611111111111","73","2339.5527564235294118","0.16252133769264659473","0.33879377997384101148","0.7619047619047619","0.92445744533201474222"
"Axis 2300","Irvine","CA","92612","Multifamily","Garden","2010",115,"0.965","3236","2597987.23","2369739","62100000","33.67378","-117.85824","1956","96334",14532683,13434847,"California","0.03816004830917874396","74","2339.5527564235294118","0.38317034788600709637","0.40309755641829468308","0.8690476190476191","0.92445744533201474222"
"Turner Apartments","Los Angeles","CA","90044","Multifamily","Garden","1956",32,"1","2017","438421.33","361698.37","9500000","33.97607","-118.28696","1956","96334",14532683,13434847,"California","0.03807351263157894737","75","2339.5527564235294118","-0.13786940924410497115","0.25125085639545747088","0.4166666666666667","0.92445744533201474222"
"The Boulevard Apartments","Tarzana","CA","91356","Multifamily","Garden","1963",49,"0.918","2373.65","717922.11","714606.07","19100000","34.17769","-118.53612","1956","96334",14532683,13434847,"California","0.03741393036649214660","76","2339.5527564235294118","0.01457425718776908044","0.29567753856374696369","0.5833333333333334","0.92445744533201474222"
"Hillview Glen Apartments","San Jose","CA","95136","Multifamily","Garden","1994",138,"1","1601.04","1255999.79","1198356","32200000","37.27511","-121.8702","1956","96334",14532683,13434847,"California","0.03721602484472049689","77","2339.5527564235294118","-0.31566407485185018493","0.19943612846969917163","0.19047619047619047","0.92445744533201474222"
"Turing Apartments","Milpitas","CA","95035","Multifamily","Mid Rise","2019",371,"0.933","3304","9144020.59","8256718.25","242200000","37.41206","-121.89935","1956","96334",14532683,13434847,"California","0.03409049649050371594","78","2339.5527564235294118","0.41223573220499612064","0.41156808603400668507","0.8809523809523809","0.92445744533201474222"
"Covina Hills MHC","La Puente","CA","91744","Multifamily","Manufactured Housing Community","1972",500,"0.978","1314","4103581.38","4128929.29","136000000","34.02156","-117.9178","1956","96334",14532683,13434847,"California","0.03035977419117647059","79","2339.5527564235294118","-0.43835419124777091328","0.16368052816243486204","0.16666666666666666","0.92445744533201474222"
"923 Folsom","San Francisco","CA","94107","Multifamily","Mid Rise","2017",115,"0.878","3443","1957205","2078347.43","69100000","37.77975","-122.40388","1956","96334",14532683,13434847,"California","0.03007738683068017366","80","2339.5527564235294118","0.47164879720998839085","0.42888284510141798327","0.8928571428571429","0.92445744533201474222"
"Cottonwood Place III","Moreno Valley","CA","92553","Multifamily","Garden","2006",58,"0.983","1061.5","220234.41","211760.38","7700000","33.92446","-117.24225","1956","96334",14532683,13434847,"California","0.02750134805194805195","81","2339.5527564235294118","-0.54628080213813456959","0.13222745863350426641","0.10714285714285714","0.92445744533201474222"
"Redwood Place I","Sunnyvale","CA","94085","Multifamily","Mid Rise","2022",180,"0.944","3606.08","5314477.56","3119777.1","119500000","37.38193","-122.0092","1956","96334",14532683,13434847,"California","0.02610692133891213389","82","2339.5527564235294118","0.54135442772088148024","0.44919716818568729628","0.9047619047619048","0.92445744533201474222"
"Latte","Escondido","CA","92025","Multifamily","Garden","1973",49,"1","2924.44898","1238991.42","556644","23330000","33.10875","-117.06919","1956","96334",14532683,13434847,"California","0.02385957993999142735","83","2339.5527564235294118","0.25000343419081539223","0.36428870139306994415","0.7976190476190477","0.92445744533201474222"
"Leisureville Mobile Home Park","Woodland","CA","95776","Multifamily","MHC Age Restricted Co-Op","1970",150,"1","482.56","536834.34","245007.11","19500000","38.66292","-121.75918","1956","96334",14532683,13434847,"California","0.01256446717948717949","84","2339.5527564235294118","-0.79373835504453906538","0.06011086428467623061","0","0.92445744533201474222"
"Outlook At Mission Valley","San Diego","CA","92123","Multifamily","Age Restricted","1978",56,"0.929","1211","330018.62","81276.28","15000000","32.78453","-117.14988","1956","96334",14532683,13434847,"California","0.00541841866666666667","85","2339.5527564235294118","-0.48237969984859252358","0.15085016712687109432","0.14285714285714285","0.92445744533201474222"
"Arium Lakeside","North Lauderdale","FL","33068","Multifamily","Garden","1988",168,"0.952","2143.84","2805754.01","2833363","47600000","26.21243","-80.22853","1564","71711",10082356,8550911,"Florida","0.05952443277310924370","1","1660.4828724448598131","0.29109431694616361178","0.35874663580203873883","0.8679245283018868","0.84810643464682262757"
"The Grove At Millenia","Orlando","FL","32811","Multifamily","Garden","1988",148,"0.932","1447.15","1616580.29","1615147.4","27900000","28.49024","-81.4391","1564","71711",10082356,8550911,"Florida","0.05789058781362007168","2","1660.4828724448598131","-0.12847640646287005057","0.24216368479033899960","0.32075471698113206","0.84810643464682262757"
"Hunters Pointe","Pensacola","FL","32506","Multifamily","Garden","1986",204,"0.971","1407","1885632.25","1931258.61","34150000",NULL,NULL,"1564","71711",10082356,8550911,"Florida","0.05655222869692532943","3","1660.4828724448598131","-0.15265611988616118657","0.23544505027122756620","0.29245283018867924","0.84810643464682262757"
"Reserve At Waters","Jacksonville","FL","32211","Multifamily","Garden","1970",205,"0.893","1103","1174559.59","1112343.43","19690000","30.32708","-81.59695","1564","71711",10082356,8550911,"Florida","0.05649281005586592179","4","1660.4828724448598131","-0.33573539462291100838","0.18457419363835394849","0.1509433962264151","0.84810643464682262757"
"Sterling Hills Apartments","Pensacola","FL","32504","Multifamily","Garden","1970",194,"0.979","1235.21","1749362.98","1852287.14","33500000","30.48542","-87.22277","1564","71711",10082356,8550911,"Florida","0.05529215343283582090","5","1660.4828724448598131","-0.25611397714611596252","0.20669799612332835967","0.19811320754716982","0.84810643464682262757"
"Treebecka Park","Gainesville","FL","32607","Multifamily","Townhome","1976",144,"0.958","1091.35","1038543.43","983408.45","17800000","29.64021","-82.41118","1564","71711",10082356,8550911,"Florida","0.05524766573033707865","6","1660.4828724448598131","-0.34275142603963184859","0.18262470192857441676","0.1320754716981132","0.84810643464682262757"
"Arium Hampton Lakes","North Lauderdale","FL","33068","Multifamily","Garden","1986",668,"0.94","1935.53","9872005.27","9561742.89","173900000","26.20946","-80.22889","1564","71711",10082356,8550911,"Florida","0.05498414542840713053","7","1660.4828724448598131","0.16564285733954402171","0.32388838532442721479","0.7452830188679245","0.84810643464682262757"
"Wingwood","Orlando","FL","32822","Multifamily","Garden","1980",87,"0.9655","1132.48","655105.62","606282.17","11400000","28.49021","-81.30944","1564","71711",10082356,8550911,"Florida","0.05318264649122807018","8","1660.4828724448598131","-0.31798152284909724277","0.18950732802498919273","0.16981132075471697","0.84810643464682262757"
"Golf Villas Apartments","Tamarac","FL","33319","Multifamily","Garden","1986",166,"0.958","1864.1","2489530.19","2590302","48800000","26.19868","-80.21331","1564","71711",10082356,8550911,"Florida","0.05307995901639344262","9","1660.4828724448598131","0.12262525012097152246","0.31193540739914378547","0.6886792452830188","0.84810643464682262757"
"Branchwood","Winter Park","FL","32792","Multifamily","Garden","1981",117,"0.9316","1131.5","943549.88","912301.91","17200000","28.61646","-81.2816","1564","71711",10082356,8550911,"Florida","0.05304080872093023256","10","1660.4828724448598131","-0.31857171261634071259","0.18934333644768585015","0.16037735849056603","0.84810643464682262757"
"Colonial Gardens","Orlando","FL","32808","Multifamily","Garden","1973",220,"0.986","781.25","958231.84","921981.84","17400000","28.55269","-81.446","1564","71711",10082356,8550911,"Florida","0.05298746206896551724","11","1660.4828724448598131","-0.52950433096024408459","0.13073308139615958500","0.018867924528301886","0.84810643464682262757"
"The Grove","Tampa","FL","33613","Multifamily","Garden","1983",200,"0.96","1405","2287574.48","2207504.51","41900000","28.07422","-82.45784","1564","71711",10082356,8550911,"Florida","0.05268507183770883055","12","1660.4828724448598131","-0.15386058879890296172","0.23511037358285339767","0.2830188679245283","0.84810643464682262757"
"Kings Crossing","Jacksonville","FL","32217","Multifamily","Garden","1984",133,"0.9474","877.17","638929.36","700212.8","13300000","30.24709","-81.61839","1564","71711",10082356,8550911,"Florida","0.05264757894736842105","13","1660.4828724448598131","-0.47173800190514854870","0.14678417537058470806","0.03773584905660377","0.84810643464682262757"
"Coconut Palm Club Apartments","Coconut Creek","FL","33073","Multifamily","Garden","1992",301,"0.93","2354.98","5257500.89","5141665.73","97700000","26.29712","-80.20138","1564","71711",10082356,8550911,"Florida","0.05262708014329580348","14","1660.4828724448598131","0.41825010006431281367","0.39407845379369971134","0.9150943396226415","0.84810643464682262757"
"The Loop At Wedgewood","Lakeland","FL","33809","Multifamily","Garden","1984",240,"0.988","1395.54","2653674.86","2627497.83","50000000","28.09217","-81.96785","1564","71711",10082356,8550911,"Florida","0.05254995660000000000","15","1660.4828724448598131","-0.15955772675617155815","0.23352735284684358048","0.2641509433962264","0.84810643464682262757"
"Centre Lake","Miami","FL","33169","Multifamily","Garden","1986",234,"0.902","1360.72","2040580.57","2021292.26","38500000","25.91969","-80.21261","1564","71711",10082356,8550911,"Florida","0.05250109766233766234","16","1660.4828724448598131","-0.18052753052700586339","0.22770063170224930624","0.25471698113207547","0.84810643464682262757"
"Heather Glenn","Fort Walton Beach","FL","32547","Multifamily","Garden","2004",168,"0.988","1100.78","1381596.65","1374465.18","26200000","30.43147","-86.66861","1564","71711",10082356,8550911,"Florida","0.05246050305343511450","17","1660.4828724448598131","-0.33707235511605437879","0.18420270251425862141","0.14150943396226415","0.84810643464682262757"
"Elliot Cocoplum","Coconut Creek","FL","33063","Multifamily","Garden","1986",360,"0.928","2131.26","5664335.23","5433510.6","103600000","26.27198","-80.18704","1564","71711",10082356,8550911,"Florida","0.05244701351351351351","18","1660.4828724448598131","0.28351820748501784613","0.35664151943216521873","0.8584905660377359","0.84810643464682262757"
"Wyndham West Villas","Coral Springs","FL","33076","Multifamily","Garden","1998",332,"0.955","2712","6652422.32","6451780","123200000","26.29923","-80.2812","1564","71711",10082356,8550911,"Florida","0.05236834415584415584","19","1660.4828724448598131","0.63325984567784709453","0.45382158943537253699","0.9905660377358491","0.84810643464682262757"
"The Addison Skyway Marina","Saint Petersburg","FL","33711","Multifamily","Garden","2021",308,"0.9253","2202.318182","4783268.17","5359793.12","102400000","27.73131","-82.68058","1564","71711",10082356,8550911,"Florida","0.05234172968750000000","20","1660.4828724448598131","0.32631189309249143470","0.36853227794898969475","0.8867924528301887","0.84810643464682262757"
"Applewood","DeLand","FL","32724","Multifamily","Garden","1981",161,"0.9689","1024.25","1053422.48","1034229.01","20000000","29.00637","-81.30154","1564","71711",10082356,8550911,"Florida","0.05171145050000000000","21","1660.4828724448598131","-0.38316135806211840465","0.17139629903362106232","0.09433962264150944","0.84810643464682262757"
"Parc At Wesley Chapel","Wesley Chapel","FL","33544","Multifamily","Garden","2020",248,"0.976","1965.56","3772940.33","3937228","76500000","28.22484","-82.36904","1564","71711",10082356,8550911,"Florida","0.05146703267973856209","22","1660.4828724448598131","0.18372795806436177549","0.32891355580036535538","0.7641509433962265","0.84810643464682262757"
"Runaway Bay","Pinellas Park","FL","33782","Multifamily","Garden","1984",192,"0.911","1640","2278020.02","2278334","44400000","27.85078","-82.69707","1564","71711",10082356,8550911,"Florida","0.05131382882882882883","23","1660.4828724448598131","-0.01233549155174438236","0.27443488446681820083","0.5188679245283019","0.84810643464682262757"
"Venue At Lakewood Ranch","Bradenton","FL","34202","Multifamily","Garden","2014",237,"0.92","2050.61","4012554.83","3845127","75000000","27.4111","-82.44606","1564","71711",10082356,8550911,"Florida","0.05126836000000000000","24","1660.4828724448598131","0.23494799857870576347","0.34314568197347687245","0.8301886792452831","0.84810643464682262757"
"Crosstown Walk","Tampa","FL","33619","Multifamily","Garden","2014",342,"0.901","1764.97","4304486.25","4382084.66","86250000","27.94192","-82.34221","1564","71711",10082356,8550911,"Florida","0.05080677866666666667","25","1660.4828724448598131","0.06292574846092543748","0.29534715733987812191","0.6320754716981132","0.84810643464682262757"
"Amberly Place","Tampa","FL","33647","Multifamily","Garden","1988",770,"0.931","1624.49","9301372.43","8992791.61","178400000","28.08374","-82.40061","1564","71711",10082356,8550911,"Florida","0.05040802471973094170","26","1660.4828724448598131","-0.02167614797005684860","0.27183946674847652382","0.5","0.84810643464682262757"
"Sabal Palm At Carrollwood","Tampa","FL","33624","Multifamily","Garden","1995",432,"0.914","1686.8","5936812.52","5862552.57","117100000","28.10761","-82.50409","1564","71711",10082356,8550911,"Florida","0.05006449675491033305","27","1660.4828724448598131","0.01584908100641315600","0.28226631897477374461","0.5471698113207547","0.84810643464682262757"
"Yugo Tallahassee Catalyst","Tallahassee","FL","32304","Multifamily","Student","2013",402,"0.983","920.98","2634382.52","2753084.6","55000000","30.4365","-84.29194","1564","71711",10082356,8550911,"Florida","0.05005608363636363636","28","1660.4828724448598131","-0.44535411037153996419","0.15411526822942086988","0.05660377358490566","0.84810643464682262757"
"Uptown At Liberty Park","Cape Coral","FL","33909","Multifamily","Garden","2018",320,"0.95","2098.31","5288514.66","5045274.3","101000000","26.70787","-81.94402","1564","71711",10082356,8550911,"Florida","0.04995321089108910891","29","1660.4828724448598131","0.26367458214759710064","0.35112772099120079207","0.839622641509434","0.84810643464682262757"
"Midtown Cape Coral","Cape Coral","FL","33991","Multifamily","Garden","2017",90,"0.989","1984.27","1354409.6","1310130.8","26300000","26.61036","-82.01211","1564","71711",10082356,8550911,"Florida","0.04981485931558935361","30","1660.4828724448598131","0.19499576474306108196","0.33204445622010570205","0.7830188679245284","0.84810643464682262757"
"Twin Lakes","Palm Harbor","FL","34684","Multifamily","Garden","1986",262,"0.935","1629","3077825.96","3153220","63500000","28.0615","-82.73899","1564","71711",10082356,8550911,"Florida","0.04965700787401574803","31","1660.4828724448598131","-0.01896007057182414565","0.27259416268076027388","0.5094339622641509","0.84810643464682262757"
"Village Walk","Jacksonville","FL","32256","Multifamily","Garden","2003",240,"0.938","1918","3062521.89","3131883","63400000","30.23923","-81.51974","1564","71711",10082356,8550911,"Florida","0.04939878548895899054","32","1660.4828724448598131","0.15508568731936236258","0.32095494415082762756","0.7358490566037735","0.84810643464682262757"
"Vista At Palma Sola","Bradenton","FL","34209","Multifamily","Garden","1991",340,"0.953","1618.85","4044143.91","4117515","83500000","27.46694","-82.63701","1564","71711",10082356,8550911,"Florida","0.04931155688622754491","33","1660.4828724448598131","-0.02507275030398865450","0.27089567848726136855","0.4811320754716981","0.84810643464682262757"
"Parkside At The Beach","Panama City Beach","FL","32413","Multifamily","Garden","2019",288,"0.91","1717.87","4038100.62","4054697","82550000","30.22933","-85.89183","1564","71711",10082356,8550911,"Florida","0.04911807389460932768","34","1660.4828724448598131","0.03456050556585663285","0.28746552132866645285","0.5849056603773585","0.84810643464682262757"
"River Pointe","Tampa","FL","33617","Multifamily","Garden","1973",212,"0.953","1348.95","2210014.4","2081418.1","42400000","28.02057","-82.40228","1564","71711",10082356,8550911,"Florida","0.04909004952830188679","35","1660.4828724448598131","-0.18761583007849121011","0.22573105939116732440","0.2358490566037736","0.84810643464682262757"
"Brookside Manor Apartments","Brandon","FL","33511","Multifamily","Garden","1987",140,"0.993","1227.63","1073573.32","1094570.32","22300000","27.88861","-82.27073","1564","71711",10082356,8550911,"Florida","0.04908387085201793722","36","1660.4828724448598131","-0.26067891432540729032","0.20542957147439026091","0.18867924528301888","0.84810643464682262757"
"Solana Vista","Bradenton","FL","34209","Multifamily","Garden","1984",200,"0.965","1722.37","2618926.96","2464978.39","50300000","27.46558","-82.61978","1564","71711",10082356,8550911,"Florida","0.04900553459244532803","37","1660.4828724448598131","0.03727056061952562692","0.28821854387750833206","0.5943396226415094","0.84810643464682262757"
"Citrus Village","Tampa","FL","33625","Multifamily","Garden","2011",296,"0.949","1758.69","3962237.76","4009942.8","82000000","28.08252","-82.57736","1564","71711",10082356,8550911,"Florida","0.04890174146341463415","38","1660.4828724448598131","0.05914371607491626353","0.29429627253838323270","0.6132075471698113","0.84810643464682262757"
"Oakwood Apartments","Sarasota","FL","34243","Multifamily","Garden","2016",148,"0.959","2150","2254704.84","2247004","46100000","27.42085","-82.54682","1564","71711",10082356,8550911,"Florida","0.04874195227765726681","39","1660.4828724448598131","0.29480408119740827922","0.35977744000223117792","0.8773584905660378","0.84810643464682262757"
"Onyx Winter Park","Casselberry","FL","32707","Multifamily","Garden","1983",336,"0.961","1592","4489224.45","4241659","87400000","28.63014","-81.31767","1564","71711",10082356,8550911,"Florida","0.04853156750572082380","40","1660.4828724448598131","-0.04124274545754698580","0.26640264394583815593","0.46226415094339623","0.84810643464682262757"
"Aster At Lely Resort Apartments","Naples","FL","34113","Multifamily","Garden","2014",308,"0.938","2000.51","4865120.66","4900606","101000000","26.10313","-81.69108","1564","71711",10082356,8550911,"Florida","0.04852085148514851485","41","1660.4828724448598131","0.20477605231452429612","0.33476203092970395058","0.8113207547169812","0.84810643464682262757"
"Promenade At Reflection Lakes","Fort Myers","FL","33907","Multifamily","Garden","2001",360,"0.942","1816.13","5202617.43","5059425","104600000","26.54264","-81.884","1564","71711",10082356,8550911,"Florida","0.04836926386233269598","42","1660.4828724448598131","0.09373606324886004565","0.30390818702848935310","0.660377358490566","0.84810643464682262757"
"Villas At Dames Point Crossing","Jacksonville","FL","32277","Multifamily","Garden","2006",180,"0.989","1449.05","1698388.33","1683431.51","34900000","30.35296","-81.55759","1564","71711",10082356,8550911,"Florida","0.04823585988538681948","43","1660.4828724448598131","-0.12733216099576536418","0.24248162764429445971","0.330188679245283","0.84810643464682262757"
"Emerald Palms","Miami","FL","33186","Multifamily","Garden","1985",505,"0.952","2303","8577138.57","8178975","169800000","25.62821","-80.39176","1564","71711",10082356,8550911,"Florida","0.04816828621908127208","44","1660.4828724448598131","0.38694595302215407770","0.38538020666285507105","0.9056603773584906","0.84810643464682262757"
"Stillwater Palms","Palm Harbor","FL","34683","Multifamily","Garden","1982",425,"0.953","1532","4620022.71","4429404.13","92050000","28.11558","-82.7433","1564","71711",10082356,8550911,"Florida","0.04811954513851167844","45","1660.4828724448598131","-0.07737681283980024011","0.25636234329461309980","0.3867924528301887","0.84810643464682262757"
"Casa Del Mar","West Palm Beach","FL","33415","Multifamily","Garden","1981",386,"0.982","1600.13","4467629.15","4323005.52","90000000","26.65417","-80.12245","1564","71711",10082356,8550911,"Florida","0.04803339466666666667","46","1660.4828724448598131","-0.03634657932725166985","0.26776310468407915104","0.4716981132075472","0.84810643464682262757"
"Angel Landing","Pensacola","FL","32507","Multifamily","Military","2006",108,"0.944","1695","1184590.57","1120685","23400000","30.35419","-87.35306","1564","71711",10082356,8550911,"Florida","0.04789252136752136752","47","1660.4828724448598131","0.02078740354865443408","0.28363849339710783562","0.5566037735849056","0.84810643464682262757"
"Cobblestone At Eagle Harbor","Fleming Island","FL","32003","Multifamily","Garden","1998",272,"0.9375","1714.16","3003618.77","2882360.76","60500000","30.10149","-81.72399","1564","71711",10082356,8550911,"Florida","0.04764232661157024793","48","1660.4828724448598131","0.03232621573272063996","0.28684469607173237021","0.5754716981132075","0.84810643464682262757"
"Shell Harbor Retirement Community","Rockledge","FL","32955","Multifamily","Independent Living","2021",128,"0.9140625","4648.023438","3231590.29","2861553.7","60100000","28.29761","-80.72542","1564","71711",10082356,8550911,"Florida","0.04761320632279534110","49","1660.4828724448598131","1.7991998683830739","0.77779254585767873827","1","0.84810643464682262757"
"Park At Portofino","Brandon","FL","33511","Multifamily","Garden","1989",444,"0.937","1573.2","4836884.63","4667592.68","98400000","27.91156","-82.32207","1564","71711",10082356,8550911,"Florida","0.04743488495934959350","50","1660.4828724448598131","-0.05256475323731967215","0.26325668307512097168","0.4339622641509434","0.84810643464682262757"
"The Atlantic Preserve (fka Verona View)","Plantation","FL","33322","Multifamily","Garden","1989",293,"0.915","2369.75","4736275.15","4064758.89","86200000","26.14441","-80.29285","1564","71711",10082356,8550911,"Florida","0.04715497552204176334","51","1660.4828724448598131","0.42714510298491082311","0.39655004113734294599","0.9245283018867925","0.84810643464682262757"
"Arium Retreat At Orange Park","Orange Park","FL","32073","Multifamily","Garden","1986",288,"0.965","1353.81","2828416.72","2753151.55","58500000","30.18591","-81.71906","1564","71711",10082356,8550911,"Florida","0.04706241965811965812","52","1660.4828724448598131","-0.18468897062052869652","0.22654432374391655395","0.24528301886792453","0.84810643464682262757"
"Palm River","Tampa","FL","33619","Multifamily","Garden","1986",70,"0.929","1575.871429","591686.47","553147.8","11800000","27.94189","-82.37363","1564","71711",10082356,8550911,"Florida","0.04687693220338983051","53","1660.4828724448598131","-0.05095592664577124834","0.26370371558059433002","0.44339622641509435","0.84810643464682262757"
"Mission Club Apartments","Orlando","FL","32821","Multifamily","Garden","1995",356,"0.98","1580.08","4874485.13","4661858.06","99700000","28.3861","-81.47263","1564","71711",10082356,8550911,"Florida","0.04675885717151454363","54","1660.4828724448598131","-0.04842138017748796566","0.26440797088312811145","0.4528301886792453","0.84810643464682262757"
"Century Avenues","Lakeland","FL","33813","Multifamily","Garden","2017",264,"0.955","1622.34","3012717.52","2979496.25","63800000","27.94742","-81.9704","1564","71711",10082356,8550911,"Florida","0.04670056818181818182","55","1660.4828724448598131","-0.02297095205125425688","0.27147968930847429265","0.49056603773584906","0.84810643464682262757"
"Villas At Deer Park","Lutz","FL","33559","Multifamily","Garden","1974",172,"0.936","1547.15","1614972.97","1677241","36000000","28.09031","-82.43067","1564","71711",10082356,8550911,"Florida","0.04659002777777777778","56","1660.4828724448598131","-0.06825296082578129340","0.25889751920904742648","0.41509433962264153","0.84810643464682262757"
"Caribbean Breeze","Tampa","FL","33613","Multifamily","Garden","1988",540,"0.93","1511.76","5159553.66","5466915.44","117700000","28.07238","-82.41508","1564","71711",10082356,8550911,"Florida","0.04644787969413763806","57","1660.4828724448598131","-0.08956603823674700456","0.25297541520826651420","0.37735849056603776","0.84810643464682262757"
"The Village At Science Drive","Orlando","FL","32826","Multifamily","Student","2000",732,"1","946.69","3881167.42","4787309.94","103200000","28.58067","-81.20212","1564","71711",10082356,8550911,"Florida","0.04638866220930232558","58","1660.4828724448598131","-0.42987066249824444472","0.15841753705847080643","0.0660377358490566","0.84810643464682262757"
